##Query peptide: GAALTTFISLAGR
##Number of matched proteins: 496
#Protein AC	Protein ID	Protein Name	Length	Organism	Matched Range(s)	Proteomic Databases	IEDB
A6F1D9	A6F1D9_9ALTE [tr]	Ribonucleases G and E	1047	Marinobacter algicola DG893 [443152]	114-126		
A6GP30	A6GP30_9BURK [tr]	Ribonuclease E	972	Limnobacter sp. MED105 [391597]	112-124		
A6V3C2	A6V3C2_PSEA7 [tr]	Ribonuclease E (RNase E)	1073	Pseudomonas aeruginosa (strain PA7) [381754]	126-138		
A7BU35	A7BU35_9GAMM [tr]	Ribonuclease, Rne/Rng family	598	Beggiatoa sp. PS [422289]	136-148		
A9ADG1	A9ADG1_BURM1 [tr]	Ribonuclease, Rne/Rng family	1111	Burkholderia multivorans (strain ATCC 17616 / 249) [395019]	169-181		
A9BNL6	A9BNL6_DELAS [tr]	Ribonuclease, Rne/Rng family	1044	Delftia acidovorans (strain DSM 14801 / SPH-1) [398578]	112-124		
A9IIF0	A9IIF0_BORPD [tr]	Ribonuclease E	995	Bordetella petrii (strain ATCC BAA-461 / DSM 12804 / CCUG 43448) [340100]	112-124		
A9K9S8	A9K9S8_BURML [tr]	Ribonuclease E	1090	Burkholderia mallei ATCC 10399 [412021]	112-124		
A9M3I4	A9M3I4_NEIM0 [tr]	Ribonuclease E	919	Neisseria meningitidis serogroup C (strain 053442) [374833]	111-123		
B0KF46	B0KF46_PSEPG [tr]	Ribonuclease, Rne/Rng family	1086	Pseudomonas putida (strain GB-1) [76869]	111-123		
B0RTH9	B0RTH9_XANCB [tr]	Ribonuclease E	1194	Xanthomonas campestris pv. campestris (strain B100) [509169]	112-124		
B0U5V7	B0U5V7_XYLFM [tr]	Ribonuclease E	1132	Xylella fastidiosa (strain M12) [405440]	112-124		
B1FGY7	B1FGY7_9BURK [tr]	Ribonuclease, Rne/Rng family	1051	Burkholderia ambifaria IOP40-10 [396596]	112-124		
B1J511	B1J511_PSEPW [tr]	Ribonuclease, Rne/Rng family	1072	Pseudomonas putida (strain W619) [390235]	111-123		
B1JY90	B1JY90_BURCC [tr]	Ribonuclease, Rne/Rng family	1056	Burkholderia cenocepacia (strain MC0-3) [406425]	112-124		
B1T1P0	B1T1P0_9BURK [tr]	Ribonuclease, Rne/Rng family	1050	Burkholderia ambifaria MEX-5 [396597]	112-124		
B1YVK1	B1YVK1_BURA4 [tr]	Ribonuclease, Rne/Rng family	1059	Burkholderia ambifaria (strain MC40-6) [398577]	112-124		
B2FM92	B2FM92_STRMK [tr]	Putative ribonuclease E	1097	Stenotrophomonas maltophilia (strain K279a) [522373]	112-124		
B2I9W9	B2I9W9_XYLF2 [tr]	Ribonuclease, Rne/Rng family	1132	Xylella fastidiosa (strain M23) [405441]	112-124		
B2JFH9	B2JFH9_BURP8 [tr]	Ribonuclease, Rne/Rng family	1092	Burkholderia phymatum (strain DSM 17167 / STM815) [391038]	112-124		
B2STP2	B2STP2_XANOP [tr]	Ribonuclease E	1238	Xanthomonas oryzae pv. oryzae (strain PXO99A) [360094]	112-124		
B2T5V2	B2T5V2_BURPP [tr]	Ribonuclease, Rne/Rng family	1097	Burkholderia phytofirmans (strain DSM 17436 / PsJN) [398527]	112-124		
B2U958	B2U958_RALPJ [tr]	Ribonuclease, Rne/Rng family	1011	Ralstonia pickettii (strain 12J) [402626]	112-124		
B3CYY0	B3CYY0_BURM1 [tr]	Ribonuclease	1054	Burkholderia multivorans (strain ATCC 17616 / 249) [395019]	112-124		
B3PEU2	B3PEU2_CELJU [tr]	Ribonuclease, Rne/Rng family protein	947	Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa) [498211]	115-127		
B3R5K7	B3R5K7_CUPTR [tr]	Ribonuclease E	1031	Cupriavidus taiwanensis (strain R1 / LMG 19424) (Ralstonia taiwanensis (strain LMG 19424)) [164546]	112-124		
B3T0Q9	B3T0Q9_9ZZZZ [tr]	Putative S1 RNA binding domain protein	767	uncultured marine microorganism HF4000_006O13 [455509]	134-146		
B3T2A0	B3T2A0_9ZZZZ [tr]	Putative S1 RNA-binding domain protein	776	uncultured marine microorganism HF4000_141E02 [455524]	134-146		
B4EAJ6	B4EAJ6_BURCJ [tr]	Putative ribonuclease E	1054	Burkholderia cepacia (strain J2315 / LMG 16656) (Burkholderia cenocepacia (strain J2315)) [216591]	112-124		
B4RR31	B4RR31_NEIG2 [tr]	Rne	919	Neisseria gonorrhoeae (strain NCCP11945) [521006]	111-123		
B4SPV8	B4SPV8_STRM5 [tr]	Ribonuclease, Rne/Rng family	1091	Stenotrophomonas maltophilia (strain R551-3) [391008]	112-124		
B4X005	B4X005_9GAMM [tr]	Ribonuclease, Rne/Rng family protein	1086	Alcanivorax sp. DG881 [236097]	111-123		
B5SMG9	B5SMG9_RALSL [tr]	Ribonuclease e (Rnase e) protein	1018	Ralstonia solanacearum IPO1609 [564066]	112-124		
B5WH16	B5WH16_9BURK [tr]	Ribonuclease, Rne/Rng family (Fragment)	599	Burkholderia sp. H160 [516466]	112-124		
B7CMJ8	B7CMJ8_BURPE [tr]	Ribonuclease E	1085	Burkholderia pseudomallei 576 [557724]	112-124		
B7RYM0	B7RYM0_9GAMM [tr]	Ribonuclease, Rne/Rng family protein	920	marine gamma proteobacterium HTCC2148 [247634]	113-125		
B7V152	B7V152_PSEA8 [tr]	Ribonuclease E	1057	Pseudomonas aeruginosa (strain LESB58) [557722]	111-123		
B7WSU0	B7WSU0_COMTE [tr]	Ribonuclease, Rne/Rng family	996	Comamonas testosteroni KF-1 [399795]	112-124		
B8L9G0	B8L9G0_9GAMM [tr]	Ribonuclease, Rne/Rng family protein	1086	Stenotrophomonas sp. SKA14 [391601]	109-121		
B9BBX0	B9BBX0_9BURK [tr]	Ribonuclease E (RNase E)	1056	Burkholderia multivorans CGD1 [513051]	112-124		
B9BZL6	B9BZL6_9BURK [tr]	Ribonuclease, Rne/Rng family protein	1053	Burkholderia multivorans CGD2 [513052]	112-124		
B9CGC6	B9CGC6_9BURK [tr]	Ribonuclease E (RNase E)	1053	Burkholderia multivorans CGD2M [513053]	112-124		
B9MDR9	B9MDR9_ACIET [tr]	Ribonuclease, Rne/Rng family	1029	Acidovorax ebreus (strain TPSY) (Diaphorobacter sp. (strain TPSY)) [535289]	112-124		
C0EKX3	C0EKX3_NEIFL [tr]	Putative uncharacterized protein	984	Neisseria flavescens NRL30031/H210 [546264]	135-147		
C0N6T8	C0N6T8_9GAMM [tr]	Ribonuclease, Rne/Rng family protein	810	Methylophaga thiooxydans DMS010 [637616]	116-128		
C0YFP3	C0YFP3_BURPE [tr]	Ribonuclease E (Fragment)	776	Burkholderia pseudomallei Pakistan 9 [595498]	109-121		
C1DR24	C1DR24_AZOVD [tr]	Ribonuclease E	1139	Azotobacter vinelandii (strain DJ / ATCC BAA-1303) [322710]	111-123		
C1I0B2	C1I0B2_NEIGO [tr]	Ribonuclease E	919	Neisseria gonorrhoeae 1291 [528345]	111-123		
C3K0P3	C3K0P3_PSEFS [tr]	Putative ribonuclease E	1075	Pseudomonas fluorescens (strain SBW25) [216595]	127-139		
C3X2M3	C3X2M3_OXAFO [tr]	Ribonuclease E protein	988	Oxalobacter formigenes HOxBLS [556268]	112-124		
C3X9I5	C3X9I5_OXAFO [tr]	Ribonuclease E protein	977	Oxalobacter formigenes OXCC13 [556269]	112-124		
C4AXC9	C4AXC9_BURML [tr]	Ribonuclease E	610	Burkholderia mallei GB8 horse 4 [320390]	112-124		
C4KRK4	C4KRK4_BURPE [tr]	Ribonuclease E	1088	Burkholderia pseudomallei MSHR346 [536230]	112-124		
C5AD76	C5AD76_BURGB [tr]	Ribonuclease E	1125	Burkholderia glumae (strain BGR1) [626418]	112-124		
C5BU48	C5BU48_TERTT [tr]	Ribonuclease E	1070	Teredinibacter turnerae (strain ATCC 39867 / T7901) [377629]	114-126		
C5CSD1	C5CSD1_VARPS [tr]	Ribonuclease, Rne/Rng family	1074	Variovorax paradoxus (strain S110) [543728]	112-124		
C5ND10	C5ND10_BURML [tr]	Ribonuclease E	1090	Burkholderia mallei PRL-20 [436115]	112-124		
C5TK00	C5TK00_NEIFL [tr]	Ribonuclease E	988	Neisseria flavescens SK114 [596320]	135-147		
C5ZKQ4	C5ZKQ4_BURPE [tr]	Ribonuclease E	1088	Burkholderia pseudomallei 1106b [357347]	112-124		
C6BFK7	C6BFK7_RALP1 [tr]	Ribonuclease, Rne/Rng family	1008	Ralstonia pickettii (strain 12D) [428406]	112-124		
C6M7K1	C6M7K1_NEISI [tr]	Ribonuclease E	1012	Neisseria sicca ATCC 29256 [547045]	113-125		
C6S9A2	C6S9A2_NEIML [tr]	Ribonuclease E	927	Neisseria meningitidis (strain alpha14) [662598]	119-131		
C6SCH5	C6SCH5_NEIME [tr]	Ribonuclease E	927	Neisseria meningitidis alpha153 [663926]	119-131		
C6SHF8	C6SHF8_NEIME [tr]	Ribonuclease E	927	Neisseria meningitidis alpha275 [295996]	119-131		
C6TV41	C6TV41_BURPE [tr]	Ribonuclease E	1088	Burkholderia pseudomallei 1710a [320371]	112-124		
C6WUY2	C6WUY2_METML [tr]	Ribonuclease, Rne/Rng family	920	Methylotenera mobilis (strain JLW8 / ATCC BAA-1282 / DSM 17540) [583345]	111-123		
C6XD85	C6XD85_METSD [tr]	Ribonuclease, Rne/Rng family	913	Methylovorus sp. (strain SIP3-4) (Methylotenera sp. (strain SIP3-4)) [582744]	111-123		
C9X1X1	C9X1X1_NEIM8 [tr]	Ribonuclease E (RNase E)	919	Neisseria meningitidis serogroup C (strain 8013) [604162]	111-123		
C9Y9I7	C9Y9I7_9BURK [tr]	Ribonuclease E	990	Curvibacter putative symbiont of Hydra magnipapillata [667019]	112-124		
D0J126	D0J126_COMT2 [tr]	Ribonuclease, Rne/Rng family	978	Comamonas testosteroni (strain CNB-2) [688245]	109-121		
D0W2B9	D0W2B9_NEICI [tr]	Ribonuclease E	913	Neisseria cinerea ATCC 14685 [546262]	111-123		
D0WA03	D0WA03_NEILA [tr]	Ribonuclease E	659	Neisseria lactamica ATCC 23970 [546265]	108-120		
D1D670	D1D670_NEIGO [tr]	Ribonuclease E	919	Neisseria gonorrhoeae 35/02 [528346]	111-123		
D1DE11	D1DE11_NEIGO [tr]	Ribonuclease E	919	Neisseria gonorrhoeae FA19 [528352]	111-123		
D1DKF8	D1DKF8_NEIGO [tr]	Ribonuclease E	919	Neisseria gonorrhoeae MS11 [528354]	111-123		
D1DS46	D1DS46_NEIGO [tr]	Ribonuclease E	919	Neisseria gonorrhoeae PID18 [528356]	111-123		
D1DYK8	D1DYK8_NEIGO [tr]	Ribonuclease E	919	Neisseria gonorrhoeae PID1 [528355]	111-123		
D1E529	D1E529_NEIGO [tr]	Ribonuclease E	919	Neisseria gonorrhoeae PID332 [528358]	111-123		
D1E618	D1E618_NEIGO [tr]	Ribonuclease E	919	Neisseria gonorrhoeae SK-92-679 [528359]	111-123		
D1EHX1	D1EHX1_NEIGO [tr]	Ribonuclease E	919	Neisseria gonorrhoeae SK-93-1035 [528360]	111-123		
D2UDR7	D2UDR7_XANAP [tr]	Probable ribonuclease e protein	1112	Xanthomonas albilineans (strain GPE PC73 / CFBP 7063) [380358]	112-124		
D2ZWY3	D2ZWY3_NEIMU [tr]	Putative ribonuclease E	1010	Neisseria mucosa ATCC 25996 [546266]	111-123		
D3A242	D3A242_NEISU [tr]	Ribonuclease E	989	Neisseria subflava NJ9703 [546268]	135-147		
D3RQ70	D3RQ70_ALLVD [tr]	Ribonuclease, Rne/Rng family	1001	Allochromatium vinosum (strain ATCC 17899 / DSM 180 / NBRC 103801 / D) (Chromatium vinosum) [572477]	114-126		
D4DLY3	D4DLY3_NEIEG [tr]	Ribonuclease E	960	Neisseria elongata subsp. glycolytica ATCC 29315 [546263]	111-123		
D4STP0	D4STP0_9XANT [tr]	Ribonuclease E	631	Xanthomonas fuscans subsp. aurantifolii str. ICPB 11122 [427081]	112-124		
D4T361	D4T361_9XANT [tr]	Ribonuclease E	711	Xanthomonas fuscans subsp. aurantifolii str. ICPB 10535 [427082]	112-124		
D4X932	D4X932_9BURK [tr]	Ribonuclease E	1032	Achromobacter piechaudii ATCC 43553 [742159]	112-124		
D5WAD3	D5WAD3_BURSC [tr]	Ribonuclease, Rne/Rng family	1066	Burkholderia sp. (strain CCGE1002) [640511]	112-124		
D6H587	D6H587_NEIGO [tr]	Ribonuclease E	921	Neisseria gonorrhoeae DGI2 [528348]	113-125		
D6JJI2	D6JJI2_NEIGO [tr]	Ribonuclease E	919	Neisseria gonorrhoeae F62 [528351]	111-123		
D7DIK4	D7DIK4_METS0 [tr]	Ribonuclease, Rne/Rng family	894	Methylotenera sp. (strain 301) [666681]	111-123		
D7HXM9	D7HXM9_PSESS [tr]	Ribonuclease E	1129	Pseudomonas savastanoi pv. savastanoi NCPPB 3335 [693985]	127-139		
D7N434	D7N434_9NEIS [tr]	Ribonuclease E	989	Neisseria sp. oral taxon 014 str. F0314 [641149]	111-123		
D8D983	D8D983_COMTE [tr]	Ribonuclease, Rne/Rng family	987	Comamonas testosteroni S44 [563045]	109-121		
D8NCL4	D8NCL4_RALSL [tr]	Ribonuclease E	1029	Ralstonia solanacearum (Pseudomonas solanacearum) [305]	112-124		
D8NLA0	D8NLA0_RALSL [tr]	Ribonuclease E	1018	Ralstonia solanacearum CFBP2957 [859656]	112-124		
D8NVM8	D8NVM8_RALSL [tr]	Ribonuclease E	1015	Ralstonia solanacearum (Pseudomonas solanacearum) [305]	112-124		
D9Y3K7	D9Y3K7_9BURK [tr]	Ribonuclease E	1033	Burkholderiales bacterium 1_1_47 [469610]	112-124		
E0NCQ8	E0NCQ8_NEIME [tr]	Ribonuclease E	927	Neisseria meningitidis ATCC 13091 [862513]	119-131		
E1P241	E1P241_NEILA [tr]	Ribonuclease E	926	Neisseria lactamica Y92-1009 [869214]	119-131		
E1RMS4	E1RMS4_XYLFG [tr]	Ribonuclease E	1132	Xylella fastidiosa (strain GB514) [788929]	112-124		
E1T5N0	E1T5N0_BURSG [tr]	Ribonuclease, Rne/Rng family	1097	Burkholderia sp. (strain CCGE1003) [640512]	112-124		
E1V9N9	E1V9N9_HALED [tr]	Ribonuclease, Rne/Rng family	1179	Halomonas elongata (strain ATCC 33173 / DSM 2581 / NBRC 15536 / NCIMB 2198 / 1H9) [768066]	111-123		
E2MG58	E2MG58_PSEUB [tr]	RNAse E	1112	Pseudomonas syringae pv. tomato T1 [546231]	111-123		
E2PBT6	E2PBT6_NEIPO [tr]	Ribonuclease E	927	Neisseria polysaccharea ATCC 43768 [546267]	119-131		
E2SZG1	E2SZG1_9RALS [tr]	Ribonuclease E	1006	Ralstonia sp. 5_7_47FAA [658664]	112-124		
E2XWS9	E2XWS9_PSEFL [tr]	Putative uncharacterized protein	1058	Pseudomonas fluorescens WH6 [746360]	127-139		
E3D645	E3D645_NEIM7 [tr]	Ribonuclease E	916	Neisseria meningitidis serogroup B (strain alpha710) [630588]	108-120		
E3HTA9	E3HTA9_ACHXA [tr]	Ribonuclease E	1027	Achromobacter xylosoxidans (strain A8) [762376]	112-124		
E4PFR6	E4PFR6_MARAH [tr]	Ribonuclease, Rne/Rng family	1074	Marinobacter adhaerens (strain HP15) [225937]	111-123		
E4QP05	E4QP05_METS6 [tr]	Ribonuclease, Rne/Rng family	913	Methylovorus sp. (strain MP688) [887061]	111-123		
E4RCJ2	E4RCJ2_PSEPB [tr]	Ribonuclease	1095	Pseudomonas putida (strain BIRD-1) [931281]	108-120		
E4ZAD7	E4ZAD7_NEIL0 [tr]	Ribonuclease E	918	Neisseria lactamica (strain 020-06) [489653]	111-123		
E5ANW2	E5ANW2_BURRH [tr]	Ribonuclease E (EC 3.1.4.-)	1100	Burkholderia rhizoxinica (strain DSM 19002 / CIP 109453 / HKI 454) [882378]	112-124		
E5UEV1	E5UEV1_ALCXX [tr]	Ribonuclease E (Fragment)	794	Achromobacter xylosoxidans C54 [562971]	112-124		
E5UKQ8	E5UKQ8_NEIMU [tr]	Ribonuclease E	963	Neisseria mucosa C102 [435832]	111-123		
E6MW75	E6MW75_NEIMH [tr]	Ribonuclease E	916	Neisseria meningitidis serogroup B / serotype 15 (strain H44/76) [909420]	108-120		
E6V2K9	E6V2K9_VARPE [tr]	Ribonuclease, Rne/Rng family	1095	Variovorax paradoxus (strain EPS) [595537]	112-124		
E6WTQ4	E6WTQ4_PSEUU [tr]	Ribonuclease, Rne/Rng family	1089	Pseudoxanthomonas suwonensis (strain 11-1) [743721]	112-124		
E7BGD8	E7BGD8_NEIMW [tr]	Ribonuclease E (RNase E)	927	Neisseria meningitidis serogroup A (strain WUE 2594) [942513]	119-131		
E7H335	E7H335_9BURK [tr]	Ribonuclease E	1169	Sutterella wadsworthensis 3_1_45B [742821]	112-124		
E7P2U0	E7P2U0_PSESG [tr]	Ribonuclease E	1083	Pseudomonas syringae pv. glycinea str. B076 [875329]	108-120		
E7PRT0	E7PRT0_PSESG [tr]	Ribonuclease E	1110	Pseudomonas syringae pv. glycinea str. race 4 [875330]	108-120		
E8SNV1	E8SNV1_NEIGO [tr]	Rne	916	Neisseria gonorrhoeae TCDC-NG08107 [940296]	108-120		
E8TZ97	E8TZ97_ALIDB [tr]	Ribonuclease, Rne/Rng family	1022	Alicycliphilus denitrificans (strain JCM 14587 / BC) [596153]	112-124		
E8YL57	E8YL57_9BURK [tr]	Ribonuclease, Rne/Rng family	1080	Burkholderia sp. CCGE1001 [640510]	112-124		
E9ZS95	E9ZS95_NEIME [tr]	Ribonuclease E	919	Neisseria meningitidis N1568 [562020]	111-123		
E9ZY02	E9ZY02_NEIME [tr]	Ribonuclease E	919	Neisseria meningitidis OX99.30304 [935592]	111-123		
F0A3D2	F0A3D2_NEIME [tr]	Ribonuclease E	919	Neisseria meningitidis M6190 [935587]	111-123		
F0A8Y9	F0A8Y9_NEIME [tr]	Ribonuclease E	916	Neisseria meningitidis M13399 [935594]	108-120		
F0AEN5	F0AEN5_NEIME [tr]	Ribonuclease E	919	Neisseria meningitidis M0579 [935590]	111-123		
F0AK54	F0AK54_NEIME [tr]	Ribonuclease E	919	Neisseria meningitidis ES14902 [935586]	111-123		
F0AQT9	F0AQT9_NEIME [tr]	Ribonuclease E	919	Neisseria meningitidis CU385 [935597]	111-123		
F0AWM8	F0AWM8_NEIME [tr]	Ribonuclease E	919	Neisseria meningitidis 961-5945 [935598]	111-123		
F0B258	F0B258_NEIME [tr]	Ribonuclease E	919	Neisseria meningitidis M01-240013 [935595]	111-123		
F0BKF4	F0BKF4_9XANT [tr]	RNAse E	1243	Xanthomonas vesicatoria ATCC 35937 [925775]	112-124		
F0BUN7	F0BUN7_9XANT [tr]	RNAse E	1222	Xanthomonas perforans 91-118 [925776]	109-121		
F0C6F6	F0C6F6_9XANT [tr]	RNAse E	1243	Xanthomonas gardneri ATCC 19865 [925777]	109-121		
F0E988	F0E988_PSEDT [tr]	Ribonuclease E (Fragment)	510	Pseudomonas sp. (strain TJI-51) [985010]	108-120		
F0F286	F0F286_9NEIS [tr]	Ribonuclease E	917	Kingella denitrificans ATCC 33394 [888741]	111-123		
F0GAR0	F0GAR0_9BURK [tr]	Ribonuclease E (Fragment)	586	Burkholderia sp. TJI49 [987057]	112-124		
F0MDS8	F0MDS8_NEIMG [tr]	Ribonuclease E	919	Neisseria meningitidis serogroup B (strain G2136) [935599]	111-123		
F0MID4	F0MID4_NEIMH [tr]	Ribonuclease E	919	Neisseria meningitidis serogroup B / serotype 15 (strain H44/76) [909420]	111-123		
F0MQJ5	F0MQJ5_NEIMM [tr]	Ribonuclease E	919	Neisseria meningitidis serogroup B (strain M01-240149) [935591]	111-123		
F0MYJ7	F0MYJ7_NEIMP [tr]	Ribonuclease E	919	Neisseria meningitidis serogroup B (strain M01-240355) [935588]	111-123		
F0N3B4	F0N3B4_NEIMO [tr]	Ribonuclease E	919	Neisseria meningitidis serogroup B (strain M04-240196) [935593]	111-123		
F0N8A3	F0N8A3_NEIMN [tr]	Ribonuclease E	919	Neisseria meningitidis serogroup B (strain NZ-05/33) [935589]	111-123		
F2BFM0	F2BFM0_9NEIS [tr]	Ribonuclease E (Fragment)	954	Neisseria bacilliformis ATCC BAA-1200 [888742]	149-161		
F2KK84	F2KK84_PSEBN [tr]	Ribonuclease E	1062	Pseudomonas brassicacearum (strain NFM421) [994484]	108-120		
F2L817	F2L817_BURGS [tr]	Ribonuclease E	1114	Burkholderia gladioli (strain BSR3) [999541]	112-124		
F2N4Y4	F2N4Y4_PSEU6 [tr]	Ribonuclease E	1052	Pseudomonas stutzeri (strain DSM 4166 / CMT.9.A) [996285]	108-120		
F2ZLG2	F2ZLG2_9PSED [tr]	Ribonuclease E	1093	Pseudomonas syringae pv. oryzae str. 1_6 [563797]	108-120		
F3C3Z4	F3C3Z4_PSESG [tr]	Ribonuclease E (Fragment)	504	Pseudomonas syringae pv. glycinea str. race 4 [875330]	108-120		
F3DI26	F3DI26_9PSED [tr]	Ribonuclease E (Fragment)	685	Pseudomonas syringae pv. aesculi str. 0893_23 [629258]	108-120		
F3E0S8	F3E0S8_9PSED [tr]	Ribonuclease E	1109	Pseudomonas syringae pv. morsprunorum str. M302280 [629259]	108-120		
F3EC03	F3EC03_PSESL [tr]	Ribonuclease E	1112	Pseudomonas syringae pv. lachrymans str. M301315 [629260]	108-120		
F3F1Q5	F3F1Q5_9PSED [tr]	Ribonuclease E (Fragment)	1033	Pseudomonas syringae pv. mori str. 301020 [629261]	37-49		
F3FMZ1	F3FMZ1_PSESX [tr]	Ribonuclease E	860	Pseudomonas syringae pv. japonica str. M301072 [629262]	108-120		
F3GDW5	F3GDW5_PSESJ [tr]	Ribonuclease E (Fragment)	603	Pseudomonas syringae pv. pisi str. 1704B [629263]	108-120		
F3H0S3	F3H0S3_PSESX [tr]	Ribonuclease E (Fragment)	332	Pseudomonas syringae Cit 7 [629264]	108-120		
F3HU73	F3HU73_PSEYM [tr]	Ribonuclease E	1101	Pseudomonas syringae pv. maculicola str. ES4326 [629265]	108-120		
F3I4J7	F3I4J7_PSESF [tr]	Ribonuclease E	1112	Pseudomonas syringae pv. actinidiae str. M302091 [629266]	108-120		
F3IQ12	F3IQ12_PSESL [tr]	Ribonuclease E	1109	Pseudomonas syringae pv. lachrymans str. M302278 [629267]	108-120		
F3IT15	F3IT15_PSEAP [tr]	Ribonuclease E	1098	Pseudomonas syringae pv. aptata str. DSM 50252 [629268]	108-120		
F3K687	F3K687_PSESZ [tr]	Ribonuclease E	1110	Pseudomonas syringae pv. tabaci str. ATCC 11528 [573066]	108-120		
F3LD28	F3LD28_9GAMM [tr]	Ribonuclease E	902	gamma proteobacterium IMCC1989 [937772]	114-126		
F3QHW8	F3QHW8_9BURK [tr]	S1 RNA binding domain protein	1033	Parasutterella excrementihominis YIT 11859 [762966]	112-124		
F4DZT8	F4DZT8_PSEMN [tr]	RNAse E	1016	Pseudomonas mendocina (strain NK-01) [1001585]	109-121		
F4GCX2	F4GCX2_ALIDK [tr]	Ribonuclease, Rne/Rng family	1028	Alicycliphilus denitrificans (strain DSM 14773 / CIP 107495 / K601) [596154]	112-124		
F4GXK1	F4GXK1_PUSST [tr]	Ribonuclease E	962	Pusillimonas sp. (strain T7-7) [1007105]	112-124		
F4LB43	F4LB43_BORPC [tr]	Ribonuclease E	1042	Bordetella pertussis (strain CS) [1017264]	112-124		
F5K843	F5K843_PSEAI [tr]	Ribonuclease E (Fragment)	683	Pseudomonas aeruginosa 138244 [983918]	108-120		
F5KM79	F5KM79_PSEAI [tr]	Ribonuclease E (Fragment)	661	Pseudomonas aeruginosa 152504 [983919]	108-120		
F5R8P3	F5R8P3_9RHOO [tr]	Ribonuclease E	961	Methyloversatilis universalis FAM5 [1000565]	112-124		
F5T2D4	F5T2D4_9GAMM [tr]	Ribonucleases G and E	826	Methylophaga aminisulfidivorans MP [1026882]	116-128		
F6AIW1	F6AIW1_PSEF1 [tr]	Ribonuclease, Rne/Rng family	1055	Pseudomonas fulva (strain 12-X) [743720]	111-123		
F6B0E5	F6B0E5_DELSC [tr]	Ribonuclease, Rne/Rng family	1044	Delftia sp. (strain Cs1-4) [742013]	112-124		
F6G3C9	F6G3C9_RALS8 [tr]	Ribonuclease e (Rnase e) protein	1013	Ralstonia solanacearum (strain Po82) [1031711]	112-124		
F7N7B2	F7N7B2_XYLFS [tr]	Ribonuclease G and E	1132	Xylella fastidiosa EB92.1 [945689]	112-124		
F7SJW1	F7SJW1_9GAMM [tr]	Ribonuclease E	1137	Halomonas sp. TD01 [999141]	111-123		
